,sentence,word,label,start,end,sure
117,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",WE,Biological Kind,61,63,False
118,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",WE,Biological Kind,112,114,False
119,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",WE,Biological Kind,139,141,False
157,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""",you,Biological Kind,50,53,False
182,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",he,Anthropomorphized,47,49,False
185,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",he,Anthropomorphized,137,139,False
197,And when he came in he found nobody there but Snow White lying in her crystal coffer.,he,Biological Kind,9,11,False
198,And when he came in he found nobody there but Snow White lying in her crystal coffer.,he,Biological Kind,20,22,False
206,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",we,Biological Kind,47,49,False
207,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",we,Biological Kind,65,67,False
209,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",you,Biological Kind,57,60,False
210,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",you,Biological Kind,73,76,False
216,Belonging When we join in with friends it helps us to feel that we belong.,we,Biological Kind,15,17,False
217,Belonging When we join in with friends it helps us to feel that we belong.,we,Biological Kind,64,66,False
227,My grandfather was a young man when he left his home in Japan and went to see the world.,he,Biological Kind,36,38,False
266,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",letter,Anthropomorphized,17,23,False
267,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",letters,Anthropomorphized,200,207,False
276,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",judge,Behavioral,32,37,False
277,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",judges,Anthropomorphized,177,183,False
280,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",one,Perceptual,8,11,False
281,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",one,Perceptual,217,220,False
282,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",one,Perceptual,224,227,False
286,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",Letter F,Anthropomorphized,104,112,False
287,"We need one more letter to help judge the contestants, and you’ll be perfect!” said the Letter J to the Letter F. Without saying a word, the Letter F sat down next to the other judges and watched the letters perform, one by one.",Letter F,Anthropomorphized,141,149,False
304,"All through the hippo night, hippos play with great delight.",hippo,Biological Kind,16,21,False
305,"All through the hippo night, hippos play with great delight.",hippo,Biological Kind,29,34,False
326,One day there was a big contest to see who could catch the biggest fish in the Lake of Phrases.,big,Perceptual,20,23,False
333,"“That won’t do at all,” said the Letter P, “You wouldn’t let me on your lawn because I had a stain on my hat.",hat,Artifacts,105,108,False
342,"She watched the gardens grow, and she watched the apples turn red and ripen.",watched,Behavioral,4,11,False
343,"She watched the gardens grow, and she watched the apples turn red and ripen.",watched,Behavioral,38,45,False
368,"Then the seven kids dragged the stones thither with all speed, and put as many of them into his stomach as they could get in; and the mother sewed him up again in the greatest haste, so that he was not aware of anything and never once stirred.",he,Biological Kind,191,193,False
397,People were moving faster and faster.,faster,Perceptual,19,25,False
398,People were moving faster and faster.,faster,Perceptual,30,36,False
418,"“Please leave the light on,” he called.",he,Biological Kind,29,31,False
434,"“I’m sorry,” said the Letter S, “I forgot.",I,Anthropomorphized,1,2,False
435,"“I’m sorry,” said the Letter S, “I forgot.",I,Anthropomorphized,33,34,False
443,"So, say what you will, or say what you may, you’ll remember the day that you met Ms. McKay.",say,Behavioral,4,7,False
444,"So, say what you will, or say what you may, you’ll remember the day that you met Ms. McKay.",say,Behavioral,26,29,False
446,"So, say what you will, or say what you may, you’ll remember the day that you met Ms. McKay.",you,Biological Kind,13,16,False
447,"So, say what you will, or say what you may, you’ll remember the day that you met Ms. McKay.",you,Biological Kind,35,38,False
448,"So, say what you will, or say what you may, you’ll remember the day that you met Ms. McKay.",you,Biological Kind,44,47,False
449,"So, say what you will, or say what you may, you’ll remember the day that you met Ms. McKay.",you,Biological Kind,73,76,False
453,"In compliance with the request of a friend of mine, who wrote me from the East, I called on good-natured, garrulous old Simon Wheeler, and inquired after my friend's friend, Leonidas W. Smiley, as requested to do, and I hereunto append the result.",request,Artifacts,23,30,False
463,"In compliance with the request of a friend of mine, who wrote me from the East, I called on good-natured, garrulous old Simon Wheeler, and inquired after my friend's friend, Leonidas W. Smiley, as requested to do, and I hereunto append the result.",I,Biological Kind,80,81,False
464,"In compliance with the request of a friend of mine, who wrote me from the East, I called on good-natured, garrulous old Simon Wheeler, and inquired after my friend's friend, Leonidas W. Smiley, as requested to do, and I hereunto append the result.",I,Biological Kind,218,219,False
469,"In compliance with the request of a friend of mine, who wrote me from the East, I called on good-natured, garrulous old Simon Wheeler, and inquired after my friend's friend, Leonidas W. Smiley, as requested to do, and I hereunto append the result.",friend,Social Kind/Role,36,42,False
470,"In compliance with the request of a friend of mine, who wrote me from the East, I called on good-natured, garrulous old Simon Wheeler, and inquired after my friend's friend, Leonidas W. Smiley, as requested to do, and I hereunto append the result.",friend,Social Kind/Role,157,163,False
471,"In compliance with the request of a friend of mine, who wrote me from the East, I called on good-natured, garrulous old Simon Wheeler, and inquired after my friend's friend, Leonidas W. Smiley, as requested to do, and I hereunto append the result.",friend,Social Kind/Role,166,172,False
477,"As soon as he'd chosen Dinosaur Rumble, his sister stomped her food and whined.",he,Biological Kind,11,13,False
487,"A little while after, when Puss saw that the Ogre had resumed his natural form, he came down, and owned he had been very much frightened.",he,Biological Kind,80,82,False
488,"A little while after, when Puss saw that the Ogre had resumed his natural form, he came down, and owned he had been very much frightened.",he,Biological Kind,104,106,False
505,"W is for wet when you're splashing around X is for xylophone for a musical sound Y is for you go on, take a look Z is for zebra at the end of the book!",you,Biological Kind,18,21,False
506,"W is for wet when you're splashing around X is for xylophone for a musical sound Y is for you go on, take a look Z is for zebra at the end of the book!",you,Biological Kind,90,93,False
526,"And both of these babies, as everyone knows, had ten little fingers and ten little toes.",ten,Perceptual,49,52,False
527,"And both of these babies, as everyone knows, had ten little fingers and ten little toes.",ten,Perceptual,72,75,False
528,"And both of these babies, as everyone knows, had ten little fingers and ten little toes.",little,Perceptual,53,59,False
529,"And both of these babies, as everyone knows, had ten little fingers and ten little toes.",little,Perceptual,76,82,False
544,The winds blew and blew.,blew,Behavioral,10,14,False
545,The winds blew and blew.,blew,Behavioral,19,23,False
554,"A lady was standing there and she said, ""If you let me in, I will grant you a wish. """,you,Biological Kind,45,48,False
555,"A lady was standing there and she said, ""If you let me in, I will grant you a wish. """,you,Biological Kind,73,76,False
559,"A lady was standing there and she said, ""If you let me in, I will grant you a wish. """,I,Biological Kind,60,61,False
579,"And, off he went, looking for a hill to climb, to see where he was.",he,Biological Kind,9,11,False
581,"And, off he went, looking for a hill to climb, to see where he was.",he,Biological Kind,60,62,False
596,"Over the fence, with its tangle of leafless vines, she went, and across the field she raced, her little feet skipping from furrow to furrow, her hair streaming.",she,Biological Kind,51,54,False
597,"Over the fence, with its tangle of leafless vines, she went, and across the field she raced, her little feet skipping from furrow to furrow, her hair streaming.",she,Biological Kind,82,85,False
601,"Over the fence, with its tangle of leafless vines, she went, and across the field she raced, her little feet skipping from furrow to furrow, her hair streaming.",furrow,Non-Living Kind,123,129,False
602,"Over the fence, with its tangle of leafless vines, she went, and across the field she raced, her little feet skipping from furrow to furrow, her hair streaming.",furrow,Non-Living Kind,133,139,False
616,He rubbed his head against the new book collection Then he padded over to the story corner and went to sleep.,he,Biological Kind,56,58,False
631,"And when he came to the place where the wild things are they roared their terrible roars and gnashed their terrible teeth and rolled their terrible eyes and showed their terrible claws till Max said ""Be still!""",he,Biological Kind,9,11,False
647,"And when he came to the place where the wild things are they roared their terrible roars and gnashed their terrible teeth and rolled their terrible eyes and showed their terrible claws till Max said ""Be still!""",terrible,Normative Feature,74,82,False
648,"And when he came to the place where the wild things are they roared their terrible roars and gnashed their terrible teeth and rolled their terrible eyes and showed their terrible claws till Max said ""Be still!""",terrible,Normative Feature,107,115,False
649,"And when he came to the place where the wild things are they roared their terrible roars and gnashed their terrible teeth and rolled their terrible eyes and showed their terrible claws till Max said ""Be still!""",terrible,Normative Feature,139,147,False
650,"And when he came to the place where the wild things are they roared their terrible roars and gnashed their terrible teeth and rolled their terrible eyes and showed their terrible claws till Max said ""Be still!""",terrible,Normative Feature,170,178,False
659,"On Sundays she puts on a purple beret, and never, not once, has she missed the ballet.",she,Biological Kind,11,14,False
660,"On Sundays she puts on a purple beret, and never, not once, has she missed the ballet.",she,Biological Kind,64,67,False
671,"When Ugo is tired, Olga the Cloud takes him in her arms, and he sleeps.",he,Biological Kind,61,63,False
706,All the things he tried to cheer himself up never worked.,he,Biological Kind,15,17,False
758,They like big gigantic parties with accordions and tiny little parties with charades.,parties,Artifacts,23,30,False
759,They like big gigantic parties with accordions and tiny little parties with charades.,parties,Artifacts,63,70,False
770,"“This is Dennis,” he answered, “Remmy just assigned him here.",he,Biological Kind,18,20,False
777,"“ Young man, you're late for yourtuba lesson!",you,Biological Kind,13,16,False
789,"Then he killed a deer and took back the heart to the Queen, telling her that it was the heart of Snow White.",heart,Biological Kind,40,45,False
790,"Then he killed a deer and took back the heart to the Queen, telling her that it was the heart of Snow White.",heart,Biological Kind,88,93,False
793,"Then he killed a deer and took back the heart to the Queen, telling her that it was the heart of Snow White.",he,Biological Kind,5,7,False
801,"Then he killed a deer and took back the heart to the Queen, telling her that it was the heart of Snow White.",it,Biological Kind,77,79,False
808,"This discouraged her, but she didn't let it stop her.",her,Biological Kind,17,20,False
809,"This discouraged her, but she didn't let it stop her.",her,Biological Kind,49,52,False
818,"Miss Molly is my favorite person, and as she grows and grows, I hope she will always be my friend, and make me all my clothes.",grows,Behavioral,45,50,False
819,"Miss Molly is my favorite person, and as she grows and grows, I hope she will always be my friend, and make me all my clothes.",grows,Behavioral,55,60,False
820,"Miss Molly is my favorite person, and as she grows and grows, I hope she will always be my friend, and make me all my clothes.",she,Biological Kind,41,44,False
821,"Miss Molly is my favorite person, and as she grows and grows, I hope she will always be my friend, and make me all my clothes.",she,Biological Kind,69,72,False
836,"But, Mama, but Mama what if I were an alligator with big, sharp teeth that could bite your head off?",Mama,Social Kind/Role,5,9,False
837,"But, Mama, but Mama what if I were an alligator with big, sharp teeth that could bite your head off?",Mama,Social Kind/Role,15,19,False
846,He stole my pack of hubbub gum I asked if he would hand me some but then he chewed it up nom nom there was none left when he was done.,he,Biological Kind,42,44,False
848,He stole my pack of hubbub gum I asked if he would hand me some but then he chewed it up nom nom there was none left when he was done.,he,Biological Kind,73,75,False
852,He stole my pack of hubbub gum I asked if he would hand me some but then he chewed it up nom nom there was none left when he was done.,he,Biological Kind,122,124,False
853,He stole my pack of hubbub gum I asked if he would hand me some but then he chewed it up nom nom there was none left when he was done.,me,Biological Kind,56,58,False
913,"He left her in the woods and said, “The prince won’t find you there!” The goats took care of Rapunzel and would come to rest by the spring.",her,Biological Kind,8,11,False
932,Take time to guard me and to teach.,me,Biological Kind,19,21,False
934,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",in,Artifacts,11,13,False
935,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",in,Artifacts,93,95,False
936,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",in,Artifacts,136,138,False
937,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",in,Artifacts,190,192,False
938,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",in,Artifacts,319,321,False
939,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",in,Artifacts,322,324,False
940,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",home,Artifacts,53,57,False
941,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",home,Artifacts,79,83,False
942,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",home,Artifacts,234,238,False
943,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",home,Artifacts,257,261,False
944,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",home,Artifacts,375,379,False
945,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",home,Artifacts,403,407,False
946,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",gonna,Behavioral,98,103,False
947,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",gonna,Behavioral,141,146,False
949,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",come,Behavioral,48,52,False
950,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",come,Behavioral,229,233,False
951,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",respect,Behavioral,31,38,False
952,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",respect,Behavioral,212,219,False
953,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",get,Behavioral,75,78,False
954,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",get,Behavioral,253,256,False
955,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",get,Behavioral,371,374,False
956,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",get,Behavioral,399,402,False
958,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",give,Behavioral,279,283,False
959,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",give,Behavioral,343,347,False
960,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",askin,Behavioral,8,13,False
961,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",askin,Behavioral,187,192,False
962,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",askin,Behavioral,316,321,False
965,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",honey,Biological Kind,331,336,False
966,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",honey,Biological Kind,443,448,False
967,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",baby,Biological Kind,62,66,False
968,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",baby,Biological Kind,386,390,False
969,"All I'm askin' is for a little respect when you come home Hey babyWhen you get homeMister l ain't gonna do you wrong while you're gone ain't gonna do you wrong cause I don't wannaAll I'm askin'LAWis for a little respect When you come home Baby When you get homeYeah I'm about to give you all of my money And all I'm askin'in returnhoney ls to give me my profits When you get home Yeah, babyWhen you get home Yeah Ooh, your kisses sweeter than honeyAnd guess what?",you,Biological Kind,44,47,False
