label,input,output
Artifacts,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",['song']
Behavioral,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.","['take', 'tell']"
Biological Kind,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.","['I', 'you', 'I', 'you']"
Mental State,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.","['feel', 'wanted']"
Non-Living Kind,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",[]
Normative Feature,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",[]
Perceptual,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",[]
Social Kind/Role,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",[]
Anthropomorphized,"Now, I wanted just to tell you, and it didn't take long the way I feel about you is a kind of a song.",[]
Artifacts,Some animals have scales.,[]
Behavioral,Some animals have scales.,[]
Biological Kind,Some animals have scales.,"['animals', 'scales']"
Mental State,Some animals have scales.,[]
Non-Living Kind,Some animals have scales.,[]
Normative Feature,Some animals have scales.,[]
Perceptual,Some animals have scales.,[]
Social Kind/Role,Some animals have scales.,[]
Anthropomorphized,Some animals have scales.,[]
Artifacts,Unicycle.,['Unicycle']
Behavioral,Unicycle.,[]
Biological Kind,Unicycle.,[]
Mental State,Unicycle.,[]
Non-Living Kind,Unicycle.,[]
Normative Feature,Unicycle.,[]
Perceptual,Unicycle.,[]
Social Kind/Role,Unicycle.,[]
Anthropomorphized,Unicycle.,[]
Artifacts,Taxi driver.,[]
Behavioral,Taxi driver.,[]
Biological Kind,Taxi driver.,[]
Mental State,Taxi driver.,[]
Non-Living Kind,Taxi driver.,[]
Normative Feature,Taxi driver.,[]
Perceptual,Taxi driver.,[]
Social Kind/Role,Taxi driver.,['Taxi driver']
Anthropomorphized,Taxi driver.,[]
Artifacts,It is Biff.,[]
Behavioral,It is Biff.,[]
Biological Kind,It is Biff.,['Biff']
Mental State,It is Biff.,[]
Non-Living Kind,It is Biff.,[]
Normative Feature,It is Biff.,[]
Perceptual,It is Biff.,[]
Social Kind/Role,It is Biff.,[]
Anthropomorphized,It is Biff.,[]
Artifacts,But we aren’t birds!,[]
Behavioral,But we aren’t birds!,[]
Biological Kind,But we aren’t birds!,"['we', 'birds']"
Mental State,But we aren’t birds!,[]
Non-Living Kind,But we aren’t birds!,[]
Normative Feature,But we aren’t birds!,[]
Perceptual,But we aren’t birds!,[]
Social Kind/Role,But we aren’t birds!,[]
Anthropomorphized,But we aren’t birds!,[]
Artifacts,"Llama llama red pajama listens, quiet, for his mama.",['pajama']
Behavioral,"Llama llama red pajama listens, quiet, for his mama.","['listens', 'quiet']"
Biological Kind,"Llama llama red pajama listens, quiet, for his mama.","['Llama', 'llama']"
Mental State,"Llama llama red pajama listens, quiet, for his mama.",[]
Non-Living Kind,"Llama llama red pajama listens, quiet, for his mama.",[]
Normative Feature,"Llama llama red pajama listens, quiet, for his mama.",[]
Perceptual,"Llama llama red pajama listens, quiet, for his mama.",['red']
Social Kind/Role,"Llama llama red pajama listens, quiet, for his mama.",['mama']
Anthropomorphized,"Llama llama red pajama listens, quiet, for his mama.",[]
Artifacts,"""Is it true that you are the smartest and fiercest dragon in the whole world?""",[]
Behavioral,"""Is it true that you are the smartest and fiercest dragon in the whole world?""",[]
Biological Kind,"""Is it true that you are the smartest and fiercest dragon in the whole world?""","['dragon', 'you']"
Mental State,"""Is it true that you are the smartest and fiercest dragon in the whole world?""",[]
Non-Living Kind,"""Is it true that you are the smartest and fiercest dragon in the whole world?""",['world']
Normative Feature,"""Is it true that you are the smartest and fiercest dragon in the whole world?""","['fiercest', 'true', 'smartest']"
Perceptual,"""Is it true that you are the smartest and fiercest dragon in the whole world?""",[]
Social Kind/Role,"""Is it true that you are the smartest and fiercest dragon in the whole world?""",[]
Anthropomorphized,"""Is it true that you are the smartest and fiercest dragon in the whole world?""",[]
Artifacts,I love to climb.,[]
Behavioral,I love to climb.,['climb']
Biological Kind,I love to climb.,['I']
Mental State,I love to climb.,['love']
Non-Living Kind,I love to climb.,[]
Normative Feature,I love to climb.,[]
Perceptual,I love to climb.,[]
Social Kind/Role,I love to climb.,[]
Anthropomorphized,I love to climb.,[]
Artifacts,Chinese Dragon.,[]
Behavioral,Chinese Dragon.,[]
Biological Kind,Chinese Dragon.,['Dragon']
Mental State,Chinese Dragon.,[]
Non-Living Kind,Chinese Dragon.,[]
Normative Feature,Chinese Dragon.,[]
Perceptual,Chinese Dragon.,[]
Social Kind/Role,Chinese Dragon.,['Chinese']
Anthropomorphized,Chinese Dragon.,[]
Artifacts,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",[]
Behavioral,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.","['HAVE', 'PAT', 'GOT', 'GOT', 'OPEN', 'GOT', 'CLOSE']"
Biological Kind,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.","['WE', 'WE', 'WE', 'EYES', 'NOSE', 'WE', 'TUMMY', 'WE', 'BELLY BUTTON', 'TOES']"
Mental State,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",['LIKE']
Non-Living Kind,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",[]
Normative Feature,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",[]
Perceptual,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.","['TWO', 'LITTLE', 'TEN', 'FUZZY', 'ONE']"
Social Kind/Role,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",[]
Anthropomorphized,"YES, WE'VE EACH GOT TEN TOES AND WE'VE EACH GOT ONE NOSE AND WE'VE ALL GOT TWO EYES THAT CAN OPEN AND CLOSE AND WE HAVE A FUZZY TUMMY THAT WE ALL LIKE TO PAT AND A LITTLE BELLY BUTTON IN THE MIDDLE OF THAT.",[]
Artifacts,Buzzard Eagle.,[]
Behavioral,Buzzard Eagle.,[]
Biological Kind,Buzzard Eagle.,"['Buzzard', 'Eagle']"
Mental State,Buzzard Eagle.,[]
Non-Living Kind,Buzzard Eagle.,[]
Normative Feature,Buzzard Eagle.,[]
Perceptual,Buzzard Eagle.,[]
Social Kind/Role,Buzzard Eagle.,[]
Anthropomorphized,Buzzard Eagle.,[]
Artifacts,"Bright eyes, ears to listen.",[]
Behavioral,"Bright eyes, ears to listen.",['listen']
Biological Kind,"Bright eyes, ears to listen.","['eyes', 'ears']"
Mental State,"Bright eyes, ears to listen.",[]
Non-Living Kind,"Bright eyes, ears to listen.",[]
Normative Feature,"Bright eyes, ears to listen.",[]
Perceptual,"Bright eyes, ears to listen.",['Bright']
Social Kind/Role,"Bright eyes, ears to listen.",[]
Anthropomorphized,"Bright eyes, ears to listen.",[]
Artifacts,Maybe she's lonely.,[]
Behavioral,Maybe she's lonely.,[]
Biological Kind,Maybe she's lonely.,['she']
Mental State,Maybe she's lonely.,['lonely']
Non-Living Kind,Maybe she's lonely.,[]
Normative Feature,Maybe she's lonely.,[]
Perceptual,Maybe she's lonely.,[]
Social Kind/Role,Maybe she's lonely.,[]
Anthropomorphized,Maybe she's lonely.,[]
Artifacts,They rode horses.,[]
Behavioral,They rode horses.,['rode']
Biological Kind,They rode horses.,"['horses', 'They']"
Mental State,They rode horses.,[]
Non-Living Kind,They rode horses.,[]
Normative Feature,They rode horses.,[]
Perceptual,They rode horses.,[]
Social Kind/Role,They rode horses.,[]
Anthropomorphized,They rode horses.,[]
Artifacts,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.",[]
Behavioral,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.","['sat', 'ran']"
Biological Kind,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.",['plumberry trees']
Mental State,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.",[]
Non-Living Kind,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.",[]
Normative Feature,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.",[]
Perceptual,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.","['row', 'long']"
Social Kind/Role,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.",[]
Anthropomorphized,"The Plus Sign ran down a long row of plumberry trees, and sat in the center.",['Plus Sign']
Artifacts,I will not eat them in a house.,['house']
Behavioral,I will not eat them in a house.,['eat']
Biological Kind,I will not eat them in a house.,"['them', 'I']"
Mental State,I will not eat them in a house.,[]
Non-Living Kind,I will not eat them in a house.,[]
Normative Feature,I will not eat them in a house.,[]
Perceptual,I will not eat them in a house.,[]
Social Kind/Role,I will not eat them in a house.,[]
Anthropomorphized,I will not eat them in a house.,[]
Artifacts,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""","['tuba', 'lesson']"
Behavioral,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""",['dillydally']
Biological Kind,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""","['man', 'you']"
Mental State,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""",[]
Non-Living Kind,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""",['woods']
Normative Feature,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""",[]
Perceptual,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""",['young']
Social Kind/Role,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""",[]
Anthropomorphized,"“Now, don't dillydally in thewoods, young man, or you'llbe late for your tuba lesson!""",[]
Artifacts,Can you imagine that!,[]
Behavioral,Can you imagine that!,[]
Biological Kind,Can you imagine that!,['you']
Mental State,Can you imagine that!,['imagine']
Non-Living Kind,Can you imagine that!,[]
Normative Feature,Can you imagine that!,[]
Perceptual,Can you imagine that!,[]
Social Kind/Role,Can you imagine that!,[]
Anthropomorphized,Can you imagine that!,[]
Artifacts,“How the sun shines on his hair!,[]
Behavioral,“How the sun shines on his hair!,['shines']
Biological Kind,“How the sun shines on his hair!,['hair']
Mental State,“How the sun shines on his hair!,[]
Non-Living Kind,“How the sun shines on his hair!,['sun']
Normative Feature,“How the sun shines on his hair!,[]
Perceptual,“How the sun shines on his hair!,[]
Social Kind/Role,“How the sun shines on his hair!,[]
Anthropomorphized,“How the sun shines on his hair!,[]
Artifacts,I like to brush my hair each day.,[]
Behavioral,I like to brush my hair each day.,['brush']
Biological Kind,I like to brush my hair each day.,"['hair', 'I']"
Mental State,I like to brush my hair each day.,['like']
Non-Living Kind,I like to brush my hair each day.,['day']
Normative Feature,I like to brush my hair each day.,[]
Perceptual,I like to brush my hair each day.,[]
Social Kind/Role,I like to brush my hair each day.,[]
Anthropomorphized,I like to brush my hair each day.,[]
Artifacts,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",['basket']
Behavioral,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.","['find', 'jumped', 'trapped', 'yelled']"
Biological Kind,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",['trees']
Mental State,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",[]
Non-Living Kind,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",[]
Normative Feature,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",[]
Perceptual,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",['biggest']
Social Kind/Role,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.",[]
Anthropomorphized,"When they were almost at the end of the trees, he yelled, “Now!” Number Two jumped out and trapped the Plus Sign with the biggest basket he could find.","['he', 'Plus Sign', 'they', 'Number Two', 'he']"
Artifacts,And when he came in he found nobody there but Snow White lying in her crystal coffer.,['coffer']
Behavioral,And when he came in he found nobody there but Snow White lying in her crystal coffer.,"['came', 'lying', 'found']"
Biological Kind,And when he came in he found nobody there but Snow White lying in her crystal coffer.,"['nobody', 'White', 'Snow', 'he', 'he']"
Mental State,And when he came in he found nobody there but Snow White lying in her crystal coffer.,[]
Non-Living Kind,And when he came in he found nobody there but Snow White lying in her crystal coffer.,['crystal']
Normative Feature,And when he came in he found nobody there but Snow White lying in her crystal coffer.,[]
Perceptual,And when he came in he found nobody there but Snow White lying in her crystal coffer.,[]
Social Kind/Role,And when he came in he found nobody there but Snow White lying in her crystal coffer.,[]
Anthropomorphized,And when he came in he found nobody there but Snow White lying in her crystal coffer.,[]
Artifacts,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",[]
Behavioral,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""","['eat', 'go', 'wild', 'cried']"
Biological Kind,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""","['we', 'things', 'you', 'you', 'we']"
Mental State,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",['love']
Non-Living Kind,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",[]
Normative Feature,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",[]
Perceptual,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",[]
Social Kind/Role,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",[]
Anthropomorphized,"But the wild things cried, ""Oh please don't go-we'll eat you up- we love you so!""",[]
Artifacts,Belonging When we join in with friends it helps us to feel that we belong.,[]
Behavioral,Belonging When we join in with friends it helps us to feel that we belong.,"['join', 'Belonging', 'belong', 'helps']"
Biological Kind,Belonging When we join in with friends it helps us to feel that we belong.,"['we', 'we', 'us']"
Mental State,Belonging When we join in with friends it helps us to feel that we belong.,['feel']
Non-Living Kind,Belonging When we join in with friends it helps us to feel that we belong.,[]
Normative Feature,Belonging When we join in with friends it helps us to feel that we belong.,[]
Perceptual,Belonging When we join in with friends it helps us to feel that we belong.,[]
Social Kind/Role,Belonging When we join in with friends it helps us to feel that we belong.,['friends']
Anthropomorphized,Belonging When we join in with friends it helps us to feel that we belong.,[]
Artifacts,My grandfather was a young man when he left his home in Japan and went to see the world.,['home']
Behavioral,My grandfather was a young man when he left his home in Japan and went to see the world.,"['left', 'see', 'went']"
Biological Kind,My grandfather was a young man when he left his home in Japan and went to see the world.,"['he', 'man']"
Mental State,My grandfather was a young man when he left his home in Japan and went to see the world.,[]
Non-Living Kind,My grandfather was a young man when he left his home in Japan and went to see the world.,['world']
Normative Feature,My grandfather was a young man when he left his home in Japan and went to see the world.,[]
Perceptual,My grandfather was a young man when he left his home in Japan and went to see the world.,['young']
Social Kind/Role,My grandfather was a young man when he left his home in Japan and went to see the world.,"['grandfather', 'Japan']"
Anthropomorphized,My grandfather was a young man when he left his home in Japan and went to see the world.,[]
Artifacts,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.","['gruel', 'assurance']"
Behavioral,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.","['comforted', 'gave']"
Biological Kind,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.","['tea', 'Betsey']"
Mental State,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.",[]
Non-Living Kind,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.",['days']
Normative Feature,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.",['better']
Perceptual,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.",[]
Social Kind/Role,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.",['mother']
Anthropomorphized,"Betsey gave the mother gruel and tea, and comforted her with assurance of better days for all.",[]
Artifacts,"In the Land of Words, nobody is in charge of everything…at least not all of the time.",['Words']
Behavioral,"In the Land of Words, nobody is in charge of everything…at least not all of the time.",['charge']
Biological Kind,"In the Land of Words, nobody is in charge of everything…at least not all of the time.",['nobody']
Mental State,"In the Land of Words, nobody is in charge of everything…at least not all of the time.",[]
Non-Living Kind,"In the Land of Words, nobody is in charge of everything…at least not all of the time.","['Land', 'time']"
Normative Feature,"In the Land of Words, nobody is in charge of everything…at least not all of the time.",[]
Perceptual,"In the Land of Words, nobody is in charge of everything…at least not all of the time.",[]
Social Kind/Role,"In the Land of Words, nobody is in charge of everything…at least not all of the time.",[]
Anthropomorphized,"In the Land of Words, nobody is in charge of everything…at least not all of the time.",[]
Artifacts,And the itsy bitsy spiderNever climbed that spout again,['spout']
Behavioral,And the itsy bitsy spiderNever climbed that spout again,['climbed']
Biological Kind,And the itsy bitsy spiderNever climbed that spout again,['spider']
Mental State,And the itsy bitsy spiderNever climbed that spout again,[]
Non-Living Kind,And the itsy bitsy spiderNever climbed that spout again,[]
Normative Feature,And the itsy bitsy spiderNever climbed that spout again,[]
Perceptual,And the itsy bitsy spiderNever climbed that spout again,['itsy bitsy']
Social Kind/Role,And the itsy bitsy spiderNever climbed that spout again,[]
Anthropomorphized,And the itsy bitsy spiderNever climbed that spout again,[]
Artifacts,"Stir in chocolate chips (and chopped nuts, if desired).",['chocolate chips']
Behavioral,"Stir in chocolate chips (and chopped nuts, if desired).",['Stir']
Biological Kind,"Stir in chocolate chips (and chopped nuts, if desired).",['nuts']
Mental State,"Stir in chocolate chips (and chopped nuts, if desired).",['desired']
